Date,Open,High,Low,Close,Adj Close,Volume
1996-03-18,60.0,60.25,60.0,60.25,43.62641143798828,16300
1996-03-19,60.0,60.0,60.0,60.0,43.44538497924805,2500
1996-03-20,60.0,60.0,60.0,60.0,43.44538497924805,4350
1996-03-21,60.5,61.5,60.5,61.5,44.53152084350586,18300
1996-03-22,61.0,61.5,61.0,61.25,44.35049057006836,19825
1996-03-25,62.0,62.0,61.25,61.75,44.71253967285156,65275
1996-03-26,61.75,62.0,61.5,61.75,44.71253967285156,94075
1996-03-27,62.25,62.5,62.0,62.25,45.0745735168457,24000
1996-03-28,62.0,62.5,62.0,62.25,45.0745735168457,102575
1996-03-29,62.5,63.0,62.5,62.75,45.43661117553711,254525
1996-04-01,63.0,63.0,62.75,62.75,45.43661117553711,80875
1996-04-02,63.0,63.25,63.0,63.25,45.798667907714844,6100
1996-04-03,63.0,63.0,62.5,62.75,45.43661117553711,25775
1996-04-04,62.75,63.0,62.75,63.0,45.617645263671875,25450
1996-04-08,62.5,62.5,62.0,62.0,44.89356231689453,15525
1996-04-09,62.75,63.0,62.5,63.0,45.617645263671875,276600
1996-04-10,62.75,63.0,62.5,62.5,45.25560760498047,71350
1996-04-11,62.5,62.75,62.5,62.5,45.25560760498047,1300
1996-04-12,62.5,62.75,62.5,62.75,45.43661117553711,450
1996-04-15,62.75,63.0,62.75,63.0,45.617645263671875,131250
1996-04-16,62.75,63.25,62.75,63.0,45.617645263671875,60900
1996-04-17,62.75,62.75,62.5,62.75,45.43661117553711,18300
1996-04-18,63.0,63.25,62.75,63.0,45.617645263671875,21350
1996-04-19,63.5,64.0,63.5,63.75,46.16072463989258,9750
1996-04-22,64.5,65.75,64.5,65.75,47.60889434814453,35500
1996-04-23,65.0,65.25,65.0,65.25,47.24685287475586,11975
1996-04-24,65.25,66.0,65.25,66.0,47.7899169921875,260600
1996-04-25,65.5,66.0,65.5,65.75,47.60889434814453,6550
1996-04-26,66.25,66.25,65.5,66.0,47.7899169921875,7600
1996-04-29,66.0,66.25,65.5,65.5,47.42786407470703,10700
1996-04-30,65.75,65.75,65.5,65.75,47.60889434814453,10425
1996-05-01,65.0,65.75,65.0,65.75,47.60889434814453,7175
1996-05-02,64.5,65.25,64.5,65.0,47.06583786010742,15300
1996-05-03,65.0,65.0,64.75,65.0,47.06583786010742,13475
1996-05-06,65.0,65.25,64.5,64.75,46.884803771972656,44525
1996-05-07,64.5,64.75,64.25,64.75,46.884803771972656,51075
1996-05-08,65.0,65.0,64.0,65.0,47.06583786010742,5100
1996-05-09,64.5,64.75,64.5,64.75,46.884803771972656,19275
1996-05-10,64.5,64.5,64.0,64.25,46.522762298583984,4000
1996-05-13,63.5,63.5,63.0,63.25,45.798667907714844,5100
1996-05-14,63.75,63.75,63.5,63.75,46.16072463989258,13400
1996-05-15,64.5,64.5,64.0,64.25,46.522762298583984,134775
1996-05-16,64.5,64.5,64.0,64.5,46.70377731323242,2350
1996-05-17,64.0,64.25,63.75,64.0,46.34174728393555,5625
1996-05-20,64.0,64.0,63.75,63.75,46.16072463989258,1825
1996-05-21,63.5,63.5,63.5,63.5,45.97969436645508,9950
1996-05-22,63.5,63.5,63.25,63.25,45.798667907714844,650
1996-05-23,63.0,63.0,62.5,62.75,45.43661117553711,7325
1996-05-24,62.5,62.5,62.5,62.5,45.25560760498047,4050
1996-05-28,62.0,62.5,62.0,62.5,45.25560760498047,11975
1996-05-29,62.25,62.5,62.25,62.5,45.25560760498047,27875
1996-05-30,63.0,63.0,62.25,62.75,45.43661117553711,4850
1996-05-31,62.25,62.75,62.25,62.75,45.43661117553711,1875
1996-06-03,62.25,62.25,61.75,61.75,44.71253967285156,2600
1996-06-04,61.75,62.25,61.75,62.25,45.0745735168457,1025
1996-06-05,62.25,62.25,61.75,62.0,44.89356231689453,8800
1996-06-06,62.0,62.0,62.0,62.0,44.89356231689453,2150
1996-06-07,61.0,61.5,61.0,61.5,44.53152084350586,9875
1996-06-10,61.5,61.5,61.0,61.5,44.53152084350586,14700
1996-06-11,61.75,61.75,61.75,61.75,44.71253967285156,225
1996-06-12,62.0,62.5,62.0,62.5,45.25560760498047,20525
1996-06-13,62.5,62.75,62.0,62.75,45.43661117553711,26700
1996-06-14,62.75,63.25,62.75,63.0,45.617645263671875,79225
1996-06-17,63.0,63.0,62.5,62.75,45.43661117553711,14525
1996-06-18,63.25,63.5,63.25,63.5,45.97969436645508,29625
1996-06-19,63.5,63.75,63.25,63.75,46.16072463989258,8500
1996-06-20,63.75,64.0,63.5,64.0,46.34174728393555,2500
1996-06-21,63.5,64.5,63.5,64.5,46.70377731323242,36225
1996-06-24,64.75,64.75,63.5,63.5,45.97969436645508,131350
1996-06-25,63.75,64.0,63.25,63.25,45.798667907714844,20200
1996-06-26,63.75,63.75,63.5,63.5,45.97969436645508,5050
1996-06-27,63.5,63.5,63.5,63.5,45.97969436645508,2350
1996-06-28,63.5,63.5,63.5,63.5,45.97969436645508,725
1996-07-01,63.0,63.25,63.0,63.25,45.798667907714844,2250
1996-07-02,62.5,62.75,62.0,62.5,45.25560760498047,4725
1996-07-03,62.5,62.5,62.5,62.5,45.25560760498047,225
1996-07-05,62.0,62.0,61.25,61.25,44.35049057006836,925
