Date,Open,High,Low,Close,Adj Close,Volume
2000-06-23,38.75,38.75,38.75,38.75,23.793899536132812,450
2000-06-26,38.0,38.0,38.0,38.0,23.3333740234375,250
2000-06-27,37.625,37.875,37.5,37.875,23.25661849975586,2200
2000-06-28,37.75,37.75,37.75,37.75,23.179866790771484,500
2000-06-29,37.75,37.75,37.75,37.75,23.179866790771484,0
2000-06-30,37.5,37.5,37.5,37.5,23.026357650756836,12150
2000-07-03,37.5,37.5,37.5,37.5,23.026357650756836,0
2000-07-05,38.625,38.75,38.625,38.75,23.793899536132812,16150
2000-07-06,37.875,38.375,37.875,38.375,23.563634872436523,25300
2000-07-07,37.5,37.75,37.5,37.625,23.103111267089844,18050
2000-07-10,37.25,37.25,37.25,37.25,22.872848510742188,100
2000-07-11,37.375,37.375,36.875,36.875,22.642581939697266,350
2000-07-12,36.75,36.75,36.75,36.75,22.56583023071289,100
2000-07-13,36.75,37.375,36.75,37.375,22.949600219726562,700
2000-07-14,38.0,38.125,38.0,38.125,23.410125732421875,1850
2000-07-17,38.75,38.875,38.75,38.875,23.870655059814453,4500
2000-07-18,37.25,37.25,37.25,37.25,22.872848510742188,850
2000-07-19,37.25,37.25,36.625,36.625,22.48907470703125,800
2000-07-20,36.25,36.75,36.25,36.75,22.56583023071289,5600
2000-07-21,35.75,35.75,35.75,35.75,21.95179557800293,200
2000-07-24,35.75,35.75,35.75,35.75,21.95179557800293,0
2000-07-25,35.75,35.75,35.75,35.75,21.95179557800293,0
2000-07-26,35.75,35.75,35.75,35.75,21.95179557800293,0
2000-07-27,35.75,35.75,35.75,35.75,21.95179557800293,0
2000-07-28,36.125,36.125,36.125,36.125,22.182056427001953,250
2000-07-31,36.125,36.125,36.125,36.125,22.182056427001953,0
2000-08-01,36.125,36.125,36.125,36.125,22.182056427001953,0
2000-08-02,36.125,36.125,36.125,36.125,22.182056427001953,0
2000-08-03,36.125,36.125,36.125,36.125,22.182056427001953,0
2000-08-04,36.125,36.125,35.875,36.0,22.10529899597168,13900
2000-08-07,35.75,35.75,35.75,35.75,21.95179557800293,139850
2000-08-08,35.75,35.875,35.75,35.875,22.028549194335938,900
2000-08-09,36.0,36.75,36.0,36.625,22.48907470703125,25450
2000-08-10,36.875,36.875,36.75,36.875,22.642581939697266,950850
2000-08-11,36.75,36.75,36.75,36.75,22.56583023071289,100
2000-08-14,35.625,35.625,35.125,35.625,21.875041961669922,900
2000-08-15,35.75,35.75,35.75,35.75,21.95179557800293,250
2000-08-16,36.5,36.875,36.375,36.5,22.412322998046875,22450
2000-08-17,37.0,37.125,37.0,37.125,22.79608726501465,550
2000-08-18,37.25,37.25,37.25,37.25,22.872848510742188,5000
2000-08-21,37.25,37.625,37.125,37.25,22.872848510742188,1200
2000-08-22,37.5,37.5,37.5,37.5,23.026357650756836,16400
2000-08-23,37.5,37.5,37.5,37.5,23.026357650756836,0
2000-08-24,34.5,35.375,34.5,35.375,22.76317596435547,9050
2000-08-25,35.0,35.0,35.0,35.0,22.521867752075195,950
2000-08-28,33.25,34.25,33.25,33.75,21.717514038085938,15400
2000-08-29,34.375,34.375,33.875,34.25,22.03925895690918,250
2000-08-30,33.5,33.5,33.375,33.375,21.476211547851562,500
2000-08-31,33.75,33.75,33.75,33.75,21.717514038085938,2450
2000-09-01,33.0,33.0,32.75,32.75,21.07402992248535,1900
2000-09-05,33.5,33.5,33.5,33.5,21.556644439697266,750
2000-09-06,33.5,33.5,33.5,33.5,21.556644439697266,100
2000-09-07,33.0,33.0,32.125,32.25,20.752290725708008,84000
2000-09-08,32.25,32.25,32.0,32.0,20.591421127319336,250
2000-09-11,32.75,32.75,32.125,32.25,20.752290725708008,8550
2000-09-12,32.25,32.25,32.25,32.25,20.752290725708008,800
2000-09-13,32.0,32.0,32.0,32.0,20.591421127319336,300
2000-09-14,31.125,31.25,31.125,31.25,20.108808517456055,200
2000-09-15,31.0,31.125,30.875,30.875,19.86750602722168,750250
2000-09-18,29.875,30.25,29.875,30.25,19.46532440185547,250
2000-09-19,29.5,29.5,29.5,29.5,18.982715606689453,150
2000-09-20,29.875,29.875,29.5,29.5,18.982715606689453,12150
